category,n,d,k,iters,total_time_s,ms_per_iter
easy,3840,512,5,3,0.02533102035522461,8.443673451741537
easy,7680,512,5,13,0.11284303665161133,8.680233588585487
easy,15360,512,5,14,0.21161293983459473,15.115209988185338
easy,30720,512,5,4,0.24628281593322754,61.570703983306885
easy,61440,512,5,3,0.3316004276275635,110.53347587585449
easy,122880,512,5,6,0.6787292957305908,113.12154928843181
easy,245760,512,5,4,1.7121622562408447,428.0405640602112
easy,491520,512,5,3,2.0780136585235596,692.6712195078532
easy,983040,512,5,5,4.286234378814697,857.2468757629395
hard,3840,512,5,22,0.03985881805419922,1.8117644570090554
hard,7680,512,5,8,0.05626368522644043,7.032960653305054
hard,15360,512,5,9,0.17633342742919922,19.5926030476888
hard,30720,512,5,14,0.39521026611328125,28.229304722377233
hard,61440,512,5,70,1.2724409103393555,18.17772729056222
hard,122880,512,5,13,0.6936278343200684,53.35598725538988
hard,245760,512,5,13,1.3643624782562256,104.9509598658635
hard,491520,512,5,8,2.3386778831481934,292.33473539352417
hard,983040,512,5,13,5.265213489532471,405.0164222717285
