category,n,iters,ms_per_iter_cpu,ms_per_iter_gpu,speedup
easy,3840,3,8.444,1.628,5.19x
easy,7680,13,8.680,1.474,5.89x
easy,15360,14,15.115,1.361,11.11x
easy,30720,4,61.571,2.616,23.53x
easy,61440,3,110.533,6.045,18.29x
easy,122880,6,113.122,9.778,11.57x
easy,245760,4,428.041,19.863,21.55x
easy,491520,3,692.671,39.199,17.67x
easy,983040,5,857.247,55.682,15.40x
hard,3840,22,1.812,1.266,1.43x
hard,7680,8,7.033,1.340,5.25x
hard,15360,9,19.593,2.540,7.71x
hard,30720,14,28.229,4.448,6.35x
hard,61440,70,18.178,6.129,2.97x
hard,122880,13,53.356,19.113,2.79x
hard,245760,13,104.951,24.314,4.32x
hard,491520,8,292.335,48.061,6.08x
hard,983040,13,405.016,87.818,4.61x
